FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight
Sione Latu,72.0,215.0,,,,http://ufcstats.com/fighter-details/5898357a45a73674,True
Jenel Lausa,65.0,125.0,68.0,Orthodox,1988-08-01,http://ufcstats.com/fighter-details/ec664422b22d9787,True
Joe Lauzon,70.0,155.0,71.0,Orthodox,1984-05-22,http://ufcstats.com/fighter-details/3bad7ef643840f67,True
Dan Lauzon,70.0,155.0,,Orthodox,1988-03-30,http://ufcstats.com/fighter-details/4c8d6fde2dde07c4,True
Robbie Lawler,71.0,170.0,74.0,Southpaw,1982-03-20,http://ufcstats.com/fighter-details/f2925e6db404bf1d,True
Tom Lawlor,72.0,205.0,74.0,Southpaw,1983-05-15,http://ufcstats.com/fighter-details/4d44f37107f01b9b,True
Justin Lawrence,68.0,145.0,67.0,Orthodox,1990-05-15,http://ufcstats.com/fighter-details/879f6cae48d25baa,True
Ronnie Lawrence,68.0,135.0,68.0,Switch,1992-06-13,http://ufcstats.com/fighter-details/e7e01e266a9d4342,True
Valmir Lazaro,72.0,155.0,73.0,Orthodox,1985-08-15,http://ufcstats.com/fighter-details/777dea713da2441d,True
Zviad Lazishvili,66.0,135.0,69.0,Orthodox,1991-10-25,http://ufcstats.com/fighter-details/41498c2d1a87b154,True
Mounir Lazzez,73.0,170.0,76.0,Orthodox,1987-11-16,http://ufcstats.com/fighter-details/49ee5024966efc0d,True
Cung Le,69.0,185.0,70.0,Southpaw,1972-05-25,http://ufcstats.com/fighter-details/d4f364dd076bb0e2,True
Jordan Leavitt,69.0,155.0,71.0,Southpaw,1995-06-02,http://ufcstats.com/fighter-details/ac026518a9b4dc0f,True
Chris Leben,71.0,185.0,73.0,Southpaw,1980-07-21,http://ufcstats.com/fighter-details/d43a048a880efdff,True
Mickael Lebout,71.0,155.0,73.0,Orthodox,1987-08-16,http://ufcstats.com/fighter-details/c575ab451e3c5b1d,True
Justin Ledet,76.0,205.0,80.0,Orthodox,1988-09-28,http://ufcstats.com/fighter-details/ba1e6cb3d43f7430,True
James Lee,71.0,205.0,,Southpaw,1973-09-22,http://ufcstats.com/fighter-details/863d06a7ef8bc98c,True
David Lee,70.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/8caca5857ce0e30b,True
Vaughan Lee,66.0,125.0,66.0,Orthodox,1982-10-15,http://ufcstats.com/fighter-details/8bb6f4479685bbcc,True
Kevin Lee,69.0,170.0,77.0,Orthodox,1992-09-04,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7,True
Rocky Lee,69.0,145.0,,Orthodox,1987-04-08,http://ufcstats.com/fighter-details/0d1c163b206e8c5f,True
Andrea Lee,66.0,125.0,69.0,Orthodox,1989-02-11,http://ufcstats.com/fighter-details/05fa626cb33d15b8,True
Thales Leites,73.0,185.0,78.0,Orthodox,1981-09-06,http://ufcstats.com/fighter-details/cfb65863d5099327,True
Amanda Lemos,64.0,115.0,65.0,Southpaw,1987-05-22,http://ufcstats.com/fighter-details/3df5493bb279226f,True
Christophe Leninger,72.0,200.0,,Southpaw,,http://ufcstats.com/fighter-details/7269329bd87eb479,True
Jesse Lennox,69.0,170.0,72.0,Orthodox,1982-03-10,http://ufcstats.com/fighter-details/3ae10ac4df3df05c,True
Nik Lentz,68.0,145.0,68.0,Orthodox,1984-08-13,http://ufcstats.com/fighter-details/6fb1ba67bef41b37,True
Alberta Cerra Leon,68.0,238.0,,,,http://ufcstats.com/fighter-details/6e02c318762f52f1,True
Victoria Leonardo,65.0,125.0,64.0,Orthodox,1990-02-16,http://ufcstats.com/fighter-details/9dedfdd91070ddd8,True
Kimo Leopoldo,75.0,235.0,,Orthodox,1968-01-05,http://ufcstats.com/fighter-details/08ae5cd9aef7ddd3,True
Brock Lesnar,75.0,265.0,81.0,Orthodox,1977-07-12,http://ufcstats.com/fighter-details/513c6f1715e547a8,True
Frank Lester,71.0,170.0,,Orthodox,1984-06-10,http://ufcstats.com/fighter-details/edd8d5d8089a35f8,True
Valerie Letourneau,67.0,115.0,68.0,Orthodox,1983-04-29,http://ufcstats.com/fighter-details/46a2f24feb258ae0,True
Leah Letson,67.0,145.0,71.0,,1992-08-21,http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7,True
Justin Levens,71.0,185.0,,Orthodox,1980-04-18,http://ufcstats.com/fighter-details/8c3f3c43c8ceb778,True
Marcus LeVesseur,69.0,155.0,70.0,Southpaw,1982-07-17,http://ufcstats.com/fighter-details/182f2b78582de3d8,True
David Levicki,77.0,275.0,,,,http://ufcstats.com/fighter-details/49590e0508b2c19f,True
Natan Levy,69.0,155.0,71.0,Southpaw,1991-09-30,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5,True
John Lewis,72.0,155.0,,Southpaw,,http://ufcstats.com/fighter-details/4a01dc8376736ef5,True
Derrick Lewis,75.0,260.0,79.0,Orthodox,1985-02-07,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,True
Bevon Lewis,75.0,185.0,79.0,Orthodox,1991-05-05,http://ufcstats.com/fighter-details/899923ff6ab13917,True
Li Jingliang,72.0,170.0,71.0,Orthodox,1988-03-20,http://ufcstats.com/fighter-details/e64b96c07d7ce999,True
Jess Liaudin,69.0,170.0,72.0,Orthodox,,http://ufcstats.com/fighter-details/a8aba6fd8a463043,True
Chuck Liddell,74.0,205.0,76.0,Orthodox,1969-12-17,http://ufcstats.com/fighter-details/a390eb8a9b2df298,True
Zach Light,68.0,170.0,,Orthodox,1974-02-06,http://ufcstats.com/fighter-details/5d7c18191b8aa432,True
Chris Liguori,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/0e31bfd26cc8c503,True
Hyun Gyu Lim,75.0,170.0,77.0,Orthodox,1985-01-16,http://ufcstats.com/fighter-details/203c957eac95dd87,True
Juliana Lima,65.0,115.0,65.0,Orthodox,1982-03-15,http://ufcstats.com/fighter-details/75a6a390fd5dca46,True
Dhiego Lima,74.0,170.0,75.0,Orthodox,1989-01-31,http://ufcstats.com/fighter-details/e9213f53ddeca978,True
Matt Lindland,72.0,185.0,74.0,Southpaw,1970-05-17,http://ufcstats.com/fighter-details/0e041d43a47d2e4b,True
Jake Lindsey,71.0,155.0,,Switch,1986-06-21,http://ufcstats.com/fighter-details/33e00249ef08d3a4,True
John Lineker,63.0,135.0,67.0,Orthodox,1990-06-12,http://ufcstats.com/fighter-details/c268b2cfebccf652,True
Austin Lingo,70.0,145.0,70.0,Orthodox,1994-07-10,http://ufcstats.com/fighter-details/305d73ede05e31ad,True
Lucio Linhares,74.0,185.0,,Orthodox,1973-12-08,http://ufcstats.com/fighter-details/a780d16cf7eed44d,True
Philipe Lins,74.0,240.0,78.0,Orthodox,1985-08-17,http://ufcstats.com/fighter-details/53c943c873cffe90,True
Ariane Lipski,66.0,125.0,67.0,Orthodox,1994-01-26,http://ufcstats.com/fighter-details/6551c64fbcd1a467,True
Dean Lister,73.0,185.0,75.0,Orthodox,1976-02-13,http://ufcstats.com/fighter-details/68c6cd5287b473a7,True
Abner Lloveras,71.0,155.0,,,1982-09-04,http://ufcstats.com/fighter-details/6448e57a9533b7e4,True
John Lober,71.0,199.0,,Orthodox,1968-02-26,http://ufcstats.com/fighter-details/31652c9267606d54,True
Artem Lobov,69.0,145.0,65.0,Southpaw,1986-08-11,http://ufcstats.com/fighter-details/02f2a9702ba3d167,True
David Loiseau,72.0,185.0,76.0,Orthodox,1979-12-17,http://ufcstats.com/fighter-details/22e47b53e4ceb27c,True
Hector Lombard,69.0,185.0,71.0,Southpaw,1978-02-02,http://ufcstats.com/fighter-details/db1f2ed63b54b9a7,True
Loma Lookboonmee,61.0,115.0,61.0,Orthodox,1996-01-18,http://ufcstats.com/fighter-details/4e30e4250cb08b61,True
Ange Loosa,70.0,170.0,74.0,Orthodox,1993-03-18,http://ufcstats.com/fighter-details/1497e735d9f2560a,True
Dileno Lopes,65.0,135.0,,,1984-09-26,http://ufcstats.com/fighter-details/8270c00fae24c922,True
Steve Lopez,71.0,155.0,,Orthodox,1984-07-30,http://ufcstats.com/fighter-details/6085ceb59087514b,True
Jorge Lopez,70.0,170.0,,Orthodox,1988-11-21,http://ufcstats.com/fighter-details/ee624ee2a18f2a43,True
Matthew Lopez,67.0,135.0,69.0,Southpaw,1987-01-21,http://ufcstats.com/fighter-details/2fc7e9701642ca38,True
Benito Lopez,70.0,135.0,73.0,Switch,1994-04-06,http://ufcstats.com/fighter-details/773f7feacf96153e,True
Gustavo Lopez,65.0,135.0,67.0,Orthodox,1989-06-27,http://ufcstats.com/fighter-details/93b62c5f2ba18e51,True
Brendan Loughnane,70.0,145.0,70.0,Switch,1989-12-05,http://ufcstats.com/fighter-details/b788862dd1c11eac,True
Nate Loughran,74.0,185.0,,Orthodox,1980-07-28,http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d,True
Ian Loveland,68.0,145.0,,Orthodox,1983-09-07,http://ufcstats.com/fighter-details/eea0274e153256a0,True
Waylon Lowe,67.0,145.0,,Southpaw,1980-10-31,http://ufcstats.com/fighter-details/28f62d866c59c709,True
Robert Lucarelli,74.0,245.0,,,,http://ufcstats.com/fighter-details/96087e90d900f0ef,True
Matt Lucas,73.0,205.0,,,,http://ufcstats.com/fighter-details/668222c99c5c311d,True
Duane Ludwig,70.0,170.0,70.0,Orthodox,1978-08-04,http://ufcstats.com/fighter-details/84ac950d4c1722dd,True
Mike Lullo,68.0,145.0,,Orthodox,1979-07-24,http://ufcstats.com/fighter-details/e26882820f9e8df5,True
Dalcha Lungiambula,68.0,185.0,76.0,Orthodox,1987-07-31,http://ufcstats.com/fighter-details/ce632027bf2a871b,True
Vicente Luque,71.0,170.0,75.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/6d4b63c767106d3a,True
Thaddeus Luster,75.0,210.0,,,,http://ufcstats.com/fighter-details/505934897b8b4824,True
Travis Lutter,71.0,185.0,75.0,Orthodox,1973-05-12,http://ufcstats.com/fighter-details/622f015c81a9b13a,True
Tucker Lutz,68.0,145.0,72.0,Orthodox,1994-07-12,http://ufcstats.com/fighter-details/7832f2f62f04178f,True
Stevie Lynch,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/710d93f1508f7104,True
Chris Lytle,71.0,170.0,68.0,Orthodox,1974-08-18,http://ufcstats.com/fighter-details/91acd6910b802a9e,True
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,1988-09-09,http://ufcstats.com/fighter-details/98a6b2361045898f,True
William Macario,71.0,170.0,75.0,Orthodox,1991-07-01,http://ufcstats.com/fighter-details/ed74afc8b5b47a61,True
Jason MacDonald,75.0,185.0,80.0,Orthodox,1975-06-03,http://ufcstats.com/fighter-details/2be6596a9db33bf5,True
Rob MacDonald,75.0,205.0,78.0,Orthodox,1978-09-05,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64,True
Rory MacDonald,72.0,170.0,76.0,Orthodox,1989-07-22,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,True
Ryan MacDonald,71.0,135.0,71.0,Switch,1993-03-18,http://ufcstats.com/fighter-details/35e1f9984ed64206,True
Veronica Macedo,64.0,125.0,64.0,Southpaw,1995-10-30,http://ufcstats.com/fighter-details/4798e823ada58fe9,True
Lyoto Machida,73.0,185.0,74.0,Southpaw,1978-05-30,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,True
War Machine,71.0,170.0,,Orthodox,1981-11-30,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0,True
Anthony Macias,69.0,185.0,,Switch,,http://ufcstats.com/fighter-details/dedc3bb440d09554,True
Reza Madadi,71.0,155.0,73.0,Orthodox,1978-06-20,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,True
Don Madge,72.0,155.0,72.0,Southpaw,1990-11-12,http://ufcstats.com/fighter-details/68c7ad953455c73f,True
Ryan Madigan,72.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/a8d521d913df4e31,True
Jon Madsen,72.0,240.0,72.0,Orthodox,1980-02-12,http://ufcstats.com/fighter-details/7691a80e6ca3e55b,True
Mark Madsen,68.0,155.0,72.0,Orthodox,1984-09-23,http://ufcstats.com/fighter-details/da0995f19b749cfa,True
Leonardo Mafra,70.0,155.0,70.0,Orthodox,1989-04-25,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1,True
Vinny Magalhaes,75.0,205.0,75.0,Orthodox,1984-07-02,http://ufcstats.com/fighter-details/88a9bc81271ccd89,True
Caio Magalhaes,73.0,185.0,73.0,Orthodox,1987-12-14,http://ufcstats.com/fighter-details/0c5c66ddd1886b83,True
Bernardo Magalhaes,69.0,155.0,,Orthodox,1981-04-08,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8,True
Angela Magana,61.0,115.0,65.0,Orthodox,1983-08-02,http://ufcstats.com/fighter-details/bd878a638e0e3be3,True
Neil Magny,75.0,170.0,80.0,Orthodox,1987-08-03,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,True
Rashid Magomedov,69.0,155.0,70.0,Orthodox,1984-11-29,http://ufcstats.com/fighter-details/7ea1f74cef32f906,True
Ruslan Magomedov,75.0,242.0,78.0,Orthodox,1986-11-26,http://ufcstats.com/fighter-details/369e1ce458ef50a6,True
Abus Magomedov,74.0,185.0,,,1990-09-02,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,True
Zabit Magomedsharipov,73.0,145.0,73.0,Orthodox,1991-03-01,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1,True
John Maguire,69.0,155.0,69.0,Southpaw,1983-05-19,http://ufcstats.com/fighter-details/1a7745388839e52b,True
Maheshate,72.0,155.0,71.0,Orthodox,1999-01-12,http://ufcstats.com/fighter-details/8c1ca54b5089d199,True
Bill Mahood,75.0,200.0,,Orthodox,1967-02-01,http://ufcstats.com/fighter-details/ae58685caf8e4a0d,True
Demian Maia,73.0,170.0,72.0,Southpaw,1977-11-06,http://ufcstats.com/fighter-details/427b5953ac8e3a27,True
Jennifer Maia,64.0,125.0,64.0,Orthodox,1988-10-06,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,True
Levan Makashvili,68.0,145.0,68.0,Orthodox,1989-01-07,http://ufcstats.com/fighter-details/938ad489fb7a1f31,True
John Makdessi,68.0,155.0,68.0,Orthodox,1985-05-03,http://ufcstats.com/fighter-details/c21a036b4e012f1c,True
Islam Makhachev,70.0,155.0,70.0,Southpaw,1991-10-27,http://ufcstats.com/fighter-details/275aca31f61ba28c,True
Zach Makovsky,64.0,125.0,64.0,Southpaw,1983-04-19,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30,True
Fabio Maldonado,73.0,205.0,75.0,Orthodox,1980-03-17,http://ufcstats.com/fighter-details/1fb80f46d3c105d9,True
Bea Malecki,69.0,135.0,74.0,Orthodox,1991-08-23,http://ufcstats.com/fighter-details/b60c980f79b87ce8,True
Nazareno Malegarie,68.0,155.0,,,1986-05-16,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051,True
Jacob Malkoun,69.0,185.0,73.0,Orthodox,1995-08-26,http://ufcstats.com/fighter-details/d4270315cbcf2569,True
Mike Malott,73.0,170.0,73.0,Orthodox,1991-11-07,http://ufcstats.com/fighter-details/dd6103dd7127db1d,True
Troy Mandaloniz,69.0,170.0,,Orthodox,1980-02-01,http://ufcstats.com/fighter-details/725a834930c2b5bf,True
Nate Maness,70.0,135.0,72.0,Orthodox,1991-06-27,http://ufcstats.com/fighter-details/6e9f40c706f91f32,True
Jon Manley,73.0,170.0,,Orthodox,1986-07-07,http://ufcstats.com/fighter-details/a0602dd050bebefc,True
Jimi Manuwa,73.0,205.0,79.0,Orthodox,1980-02-18,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e,True
Cristiano Marcello,69.0,155.0,72.0,Orthodox,1977-12-03,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3,True
Jose Maria,65.0,125.0,,Orthodox,1982-01-04,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3,True
Marcos Mariano,73.0,155.0,76.0,Switch,1986-10-12,http://ufcstats.com/fighter-details/72e5e5a6edfa8223,True
Enrique Marin,70.0,170.0,,,1986-09-02,http://ufcstats.com/fighter-details/23a6e307077c6ccc,True
Ronny Markes,73.0,185.0,75.0,Orthodox,1988-04-21,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee,True
Rory Markham,72.0,170.0,71.0,Orthodox,1982-03-25,http://ufcstats.com/fighter-details/23a16ebe733e3041,True
Randa Markos,64.0,115.0,63.0,Orthodox,1985-08-10,http://ufcstats.com/fighter-details/4a57ebb14315b251,True
Christina Marks,67.0,125.0,69.0,Orthodox,1985-11-08,http://ufcstats.com/fighter-details/c7be22a47a58365a,True
Nate Marquardt,72.0,185.0,74.0,Orthodox,1979-04-20,http://ufcstats.com/fighter-details/a8e6a69796280f17,True
Danilo Marques,78.0,205.0,77.0,Orthodox,1985-12-26,http://ufcstats.com/fighter-details/687c15b2eddfaa63,True
Julian Marquez,74.0,185.0,72.0,Orthodox,1990-05-08,http://ufcstats.com/fighter-details/d0e1b42d41dab603,True
Carmelo Marrero,72.0,205.0,73.0,Orthodox,1981-01-26,http://ufcstats.com/fighter-details/aa03a3ca00ac6827,True
John Marsh,72.0,265.0,,Orthodox,1970-09-15,http://ufcstats.com/fighter-details/b6b12014698cc345,True
Eliot Marshall,74.0,205.0,77.0,Orthodox,1980-07-07,http://ufcstats.com/fighter-details/a08d909a5be6f410,True
Jack Marshman,72.0,185.0,73.0,Orthodox,1989-12-19,http://ufcstats.com/fighter-details/045f25b3a4c08e81,True
Terry Martin,68.0,185.0,71.0,Orthodox,1980-10-10,http://ufcstats.com/fighter-details/6a92caba39b64752,True
Anthony Rocco Martin,72.0,170.0,73.0,Orthodox,1989-12-11,http://ufcstats.com/fighter-details/5331b25a60417ffb,True
Mallory Martin,64.0,115.0,63.0,Orthodox,1994-01-29,http://ufcstats.com/fighter-details/19b7738321cfae42,True
Rainy Martinez,72.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/577ec7e108b94be3,True
Danny Martinez,66.0,125.0,67.0,Orthodox,1985-06-14,http://ufcstats.com/fighter-details/8a9c6c4301f6d088,True
Henry Martinez,67.0,155.0,69.0,Southpaw,1983-08-07,http://ufcstats.com/fighter-details/76729a829623e266,True
Jonathan Martinez,68.0,135.0,70.0,Southpaw,1994-04-20,http://ufcstats.com/fighter-details/f2477cf43c4975cc,True
Mana Martinez,70.0,135.0,70.0,Orthodox,1996-03-25,http://ufcstats.com/fighter-details/c0386644627a7ee5,True
Roque Martinez,70.0,250.0,72.0,Orthodox,1986-03-04,http://ufcstats.com/fighter-details/2c5a0b8317f8f27a,True
Adriano Martins,70.0,155.0,72.0,Southpaw,1982-12-16,http://ufcstats.com/fighter-details/7dcf06c1967801c1,True
Lucas Martins,72.0,145.0,72.0,Southpaw,1988-11-11,http://ufcstats.com/fighter-details/7413b80dbb0f8f9f,True
Bristol Marunde,73.0,170.0,75.0,Orthodox,1982-04-20,http://ufcstats.com/fighter-details/a17322f99ddfd8e9,True
Mike Massenzio,74.0,185.0,73.0,Southpaw,1982-11-01,http://ufcstats.com/fighter-details/5b2d7906aa894274,True
Jorge Masvidal,71.0,170.0,74.0,Orthodox,1984-11-12,http://ufcstats.com/fighter-details/47b9e0e7703a4868,True
Tateki Matsuda,67.0,125.0,,Orthodox,1986-02-27,http://ufcstats.com/fighter-details/3a524c6700addc24,True
Jake Matthews,71.0,170.0,73.0,Orthodox,1994-08-19,http://ufcstats.com/fighter-details/a845f0735bc67405,True
John Matua,74.0,400.0,,Orthodox,,http://ufcstats.com/fighter-details/c933d423ebdbbbdb,True
Vladimir Matyushenko,72.0,205.0,74.0,Orthodox,1971-01-04,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,True
Miranda Maverick,63.0,125.0,65.0,Southpaw,1997-07-01,http://ufcstats.com/fighter-details/f29a6350c69f4a33,True
Nick Maximov,72.0,185.0,76.0,Southpaw,1997-12-23,http://ufcstats.com/fighter-details/12585614e0ed2626,True
Jack May,80.0,255.0,,Switch,1981-04-14,http://ufcstats.com/fighter-details/2c6e81426dd7573c,True
Don'Tale Mayes,78.0,260.0,81.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/1a9480fc288e55d7,True
Gray Maynard,69.0,155.0,70.0,Orthodox,1979-05-09,http://ufcstats.com/fighter-details/7d96bc577e5178b2,True
Gina Mazany,66.0,125.0,68.0,Southpaw,1988-08-19,http://ufcstats.com/fighter-details/016a8d958883167c,True
Sabina Mazo,67.0,125.0,70.0,Orthodox,1997-03-25,http://ufcstats.com/fighter-details/70d2329a92864fdb,True
Michael McBride,73.0,155.0,,Orthodox,1986-03-09,http://ufcstats.com/fighter-details/443f60bec7c3c3d5,True
Ian McCall,65.0,125.0,64.0,Orthodox,1984-05-07,http://ufcstats.com/fighter-details/701e057d63c124d9,True
Molly McCann,64.0,125.0,62.0,Orthodox,1990-05-04,http://ufcstats.com/fighter-details/51018a31ddf31eb2,True
Charles McCarthy,70.0,185.0,71.0,Orthodox,1980-08-06,http://ufcstats.com/fighter-details/da97d6c97d09c030,True
Sean McCorkle,79.0,265.0,81.0,Orthodox,1976-07-17,http://ufcstats.com/fighter-details/008dc37cca279def,True
Kris McCray,72.0,170.0,76.0,Orthodox,1981-09-24,http://ufcstats.com/fighter-details/baed16f18348908e,True
Tamdan McCrory,76.0,185.0,76.0,Switch,1986-11-05,http://ufcstats.com/fighter-details/eff47295daf721a6,True
Justin McCully,73.0,225.0,73.0,Orthodox,1976-02-18,http://ufcstats.com/fighter-details/75f871836d41f90f,True
Robert McDaniel,75.0,185.0,75.0,Southpaw,1983-05-03,http://ufcstats.com/fighter-details/5cafbc97dba2e797,True
Michael McDonald,69.0,135.0,70.0,Orthodox,1991-01-15,http://ufcstats.com/fighter-details/d0314416a7f26527,True
Drew McFedries,72.0,185.0,72.0,Southpaw,1978-07-27,http://ufcstats.com/fighter-details/1fd4fbdcc67de844,True
Gan McGee,82.0,265.0,,Orthodox,1976-11-20,http://ufcstats.com/fighter-details/d90b630e0561818b,True
Court McGee,71.0,170.0,75.0,Orthodox,1984-12-12,http://ufcstats.com/fighter-details/523fa774700d7d3f,True
Ryan McGillivray,71.0,170.0,,,1986-09-27,http://ufcstats.com/fighter-details/1f9c371c93dfd3a9,True
Conor McGregor,69.0,155.0,74.0,Southpaw,1988-07-14,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,True
Antonio McKee,68.0,155.0,,Southpaw,1970-03-12,http://ufcstats.com/fighter-details/3414b50b08a10600,True
Rhys McKee,74.0,170.0,78.0,Orthodox,1995-09-10,http://ufcstats.com/fighter-details/f748267c4ab6c127,True
Cory McKenna,63.0,115.0,58.0,Orthodox,1999-11-07,http://ufcstats.com/fighter-details/3351aa64aa83c4d9,True
Tim McKenzie,72.0,185.0,74.0,Orthodox,1982-07-21,http://ufcstats.com/fighter-details/9ca265dfe8323db3,True
Cody McKenzie,72.0,155.0,72.0,Switch,1987-12-16,http://ufcstats.com/fighter-details/7be63795363029e8,True
Terrance McKinney,70.0,155.0,73.0,Switch,1994-09-15,http://ufcstats.com/fighter-details/809bd1a871491508,True
Garreth McLellan,73.0,185.0,72.0,Southpaw,1982-09-01,http://ufcstats.com/fighter-details/f215cfbd4ba3c270,True
Sara McMann,66.0,135.0,66.0,Orthodox,1980-09-24,http://ufcstats.com/fighter-details/7be74a12d7352df2,True
James McSweeney,76.0,230.0,77.0,Switch,1980-10-24,http://ufcstats.com/fighter-details/cac08b8685387ca5,True
Tim Means,74.0,170.0,75.0,Orthodox,1984-02-20,http://ufcstats.com/fighter-details/4b47e71384a9522f,True
Yancy Medeiros,70.0,155.0,75.0,Orthodox,1987-09-07,http://ufcstats.com/fighter-details/813550bc53b15fb0,True
Anistavio Medeiros,66.0,145.0,,Orthodox,1988-05-01,http://ufcstats.com/fighter-details/2937cb502dda0808,True
Uros Medic,73.0,155.0,71.0,Southpaw,1993-04-25,http://ufcstats.com/fighter-details/681399317dbf4701,True
Todd Medina,70.0,193.0,,Southpaw,,http://ufcstats.com/fighter-details/b60391da771deefe,True
Emil Meek,71.0,170.0,74.0,Switch,1988-08-20,http://ufcstats.com/fighter-details/103b06d8707895a9,True
Gerald Meerschaert,73.0,185.0,77.0,Southpaw,1987-12-18,http://ufcstats.com/fighter-details/6ac9bc2953c47345,True
Jordan Mein,72.0,170.0,73.0,Orthodox,1989-10-10,http://ufcstats.com/fighter-details/2aa49b3766a59bcd,True
Brian Melancon,68.0,170.0,,Orthodox,1982-05-28,http://ufcstats.com/fighter-details/eee7dafac7d672b5,True
Brandon Melendez,71.0,155.0,,Southpaw,1983-03-24,http://ufcstats.com/fighter-details/2b06b6ad5db63348,True
Gilbert Melendez,69.0,145.0,73.0,Orthodox,1982-04-12,http://ufcstats.com/fighter-details/aa5b4eff51bdc7d1,True
Marcelo Mello,67.0,170.0,,Southpaw,,http://ufcstats.com/fighter-details/672ef06fd9f41f7d,True
Vanessa Melo,65.0,135.0,65.0,Orthodox,1988-03-27,http://ufcstats.com/fighter-details/9b7dfb3b7d99926a,True
Antonio Mendes,75.0,205.0,77.0,Southpaw,1981-04-19,http://ufcstats.com/fighter-details/3795fca327cbcf23,True
Chad Mendes,66.0,145.0,66.0,Orthodox,1985-05-01,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,True
Augusto Mendes,66.0,135.0,65.0,Orthodox,1983-03-03,http://ufcstats.com/fighter-details/3d5b1ce6097dbb49,True
Eddie Mendez,70.0,185.0,,,1984-01-16,http://ufcstats.com/fighter-details/49e49b54e5901d0d,True
Alonzo Menifield,72.0,205.0,76.0,Orthodox,1987-10-18,http://ufcstats.com/fighter-details/a495f599e787614f,True
Ivan Menjivar,66.0,145.0,64.0,Orthodox,1982-05-30,http://ufcstats.com/fighter-details/5755960ebd0b16f6,True
Dave Menne,70.0,170.0,,Orthodox,1974-07-29,http://ufcstats.com/fighter-details/275cafc9de131c83,True
Joe Merritt,72.0,170.0,,Orthodox,1984-03-07,http://ufcstats.com/fighter-details/e82d5f54daa85a7e,True
Jonathan Meunier,75.0,170.0,,Switch,1987-08-04,http://ufcstats.com/fighter-details/5823ceab56741617,True
Yaotzin Meza,69.0,145.0,71.0,Orthodox,1981-02-04,http://ufcstats.com/fighter-details/3623bd267a2eef2e,True
Guy Mezger,73.0,200.0,,Orthodox,1968-01-01,http://ufcstats.com/fighter-details/946f341df6472ee0,True
Andreas Michailidis,72.0,185.0,76.0,Orthodox,1988-07-18,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,True
David Michaud,69.0,155.0,,Orthodox,1988-11-10,http://ufcstats.com/fighter-details/49f4b511932f71e9,True
Kristof Midoux,73.0,220.0,,Orthodox,1974-07-30,http://ufcstats.com/fighter-details/5b5b9c6f6f270369,True
Bojan Mihajlovic,71.0,205.0,73.0,Orthodox,1980-03-30,http://ufcstats.com/fighter-details/d6285cba1d1052e0,True
Billy Miles,70.0,170.0,,Orthodox,1978-04-28,http://ufcstats.com/fighter-details/3c48019bc387b80c,True
Pat Miletich,70.0,170.0,,Orthodox,1968-03-09,http://ufcstats.com/fighter-details/cedfdf8d423d500c,True
Curtis Millender,74.0,170.0,76.0,Orthodox,1987-12-01,http://ufcstats.com/fighter-details/f1928a52590c5532,True
Phillip Miller,71.0,185.0,,Orthodox,1979-02-20,http://ufcstats.com/fighter-details/18aecaf50f52e4c3,True
Jason Miller,73.0,185.0,,Orthodox,1980-12-24,http://ufcstats.com/fighter-details/b2f88c04c4dd43ce,True
Dan Miller,73.0,185.0,74.0,Orthodox,1981-06-30,http://ufcstats.com/fighter-details/d0c29452d3272603,True
