FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE
Li Jingliang,72.0,170.0,71.0,Orthodox,1988-03-20,http://ufcstats.com/fighter-details/e64b96c07d7ce999,True,34.0
Jess Liaudin,69.0,170.0,72.0,Orthodox,,http://ufcstats.com/fighter-details/a8aba6fd8a463043,True,
Chuck Liddell,74.0,205.0,76.0,Orthodox,1969-12-17,http://ufcstats.com/fighter-details/a390eb8a9b2df298,True,53.0
Zach Light,68.0,170.0,,Orthodox,1974-02-06,http://ufcstats.com/fighter-details/5d7c18191b8aa432,True,48.0
Chris Liguori,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/0e31bfd26cc8c503,True,
Hyun Gyu Lim,75.0,170.0,77.0,Orthodox,1985-01-16,http://ufcstats.com/fighter-details/203c957eac95dd87,True,38.0
Juliana Lima,65.0,115.0,65.0,Orthodox,1982-03-15,http://ufcstats.com/fighter-details/75a6a390fd5dca46,True,40.0
Dhiego Lima,74.0,170.0,75.0,Orthodox,1989-01-31,http://ufcstats.com/fighter-details/e9213f53ddeca978,True,33.0
Matt Lindland,72.0,185.0,74.0,Southpaw,1970-05-17,http://ufcstats.com/fighter-details/0e041d43a47d2e4b,True,52.0
Jake Lindsey,71.0,155.0,,Switch,1986-06-21,http://ufcstats.com/fighter-details/33e00249ef08d3a4,True,36.0
John Lineker,63.0,135.0,67.0,Orthodox,1990-06-12,http://ufcstats.com/fighter-details/c268b2cfebccf652,True,32.0
Austin Lingo,70.0,145.0,70.0,Orthodox,1994-07-10,http://ufcstats.com/fighter-details/305d73ede05e31ad,True,28.0
Lucio Linhares,74.0,185.0,,Orthodox,1973-12-08,http://ufcstats.com/fighter-details/a780d16cf7eed44d,True,49.0
Philipe Lins,74.0,240.0,78.0,Orthodox,1985-08-17,http://ufcstats.com/fighter-details/53c943c873cffe90,True,37.0
Ariane Lipski,66.0,125.0,67.0,Orthodox,1994-01-26,http://ufcstats.com/fighter-details/6551c64fbcd1a467,True,29.0
Dean Lister,73.0,185.0,75.0,Orthodox,1976-02-13,http://ufcstats.com/fighter-details/68c6cd5287b473a7,True,46.0
Abner Lloveras,71.0,155.0,,,1982-09-04,http://ufcstats.com/fighter-details/6448e57a9533b7e4,True,40.0
John Lober,71.0,199.0,,Orthodox,1968-02-26,http://ufcstats.com/fighter-details/31652c9267606d54,True,54.0
Artem Lobov,69.0,145.0,65.0,Southpaw,1986-08-11,http://ufcstats.com/fighter-details/02f2a9702ba3d167,True,36.0
David Loiseau,72.0,185.0,76.0,Orthodox,1979-12-17,http://ufcstats.com/fighter-details/22e47b53e4ceb27c,True,43.0
Hector Lombard,69.0,185.0,71.0,Southpaw,1978-02-02,http://ufcstats.com/fighter-details/db1f2ed63b54b9a7,True,44.0
Loma Lookboonmee,61.0,115.0,61.0,Orthodox,1996-01-18,http://ufcstats.com/fighter-details/4e30e4250cb08b61,True,27.0
Ange Loosa,70.0,170.0,74.0,Orthodox,1993-03-18,http://ufcstats.com/fighter-details/1497e735d9f2560a,True,29.0
Dileno Lopes,65.0,135.0,,,1984-09-26,http://ufcstats.com/fighter-details/8270c00fae24c922,True,38.0
Steve Lopez,71.0,155.0,,Orthodox,1984-07-30,http://ufcstats.com/fighter-details/6085ceb59087514b,True,38.0
Jorge Lopez,70.0,170.0,,Orthodox,1988-11-21,http://ufcstats.com/fighter-details/ee624ee2a18f2a43,True,34.0
Matthew Lopez,67.0,135.0,69.0,Southpaw,1987-01-21,http://ufcstats.com/fighter-details/2fc7e9701642ca38,True,36.0
Benito Lopez,70.0,135.0,73.0,Switch,1994-04-06,http://ufcstats.com/fighter-details/773f7feacf96153e,True,28.0
Gustavo Lopez,65.0,135.0,67.0,Orthodox,1989-06-27,http://ufcstats.com/fighter-details/93b62c5f2ba18e51,True,33.0
Brendan Loughnane,70.0,145.0,70.0,Switch,1989-12-05,http://ufcstats.com/fighter-details/b788862dd1c11eac,True,33.0
Nate Loughran,74.0,185.0,,Orthodox,1980-07-28,http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d,True,42.0
Ian Loveland,68.0,145.0,,Orthodox,1983-09-07,http://ufcstats.com/fighter-details/eea0274e153256a0,True,39.0
Waylon Lowe,67.0,145.0,,Southpaw,1980-10-31,http://ufcstats.com/fighter-details/28f62d866c59c709,True,42.0
Robert Lucarelli,74.0,245.0,,,,http://ufcstats.com/fighter-details/96087e90d900f0ef,True,
Matt Lucas,73.0,205.0,,,,http://ufcstats.com/fighter-details/668222c99c5c311d,True,
Duane Ludwig,70.0,170.0,70.0,Orthodox,1978-08-04,http://ufcstats.com/fighter-details/84ac950d4c1722dd,True,44.0
Mike Lullo,68.0,145.0,,Orthodox,1979-07-24,http://ufcstats.com/fighter-details/e26882820f9e8df5,True,43.0
Dalcha Lungiambula,68.0,185.0,76.0,Orthodox,1987-07-31,http://ufcstats.com/fighter-details/ce632027bf2a871b,True,35.0
Vicente Luque,71.0,170.0,75.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/6d4b63c767106d3a,True,31.0
Thaddeus Luster,75.0,210.0,,,,http://ufcstats.com/fighter-details/505934897b8b4824,True,
Travis Lutter,71.0,185.0,75.0,Orthodox,1973-05-12,http://ufcstats.com/fighter-details/622f015c81a9b13a,True,49.0
Tucker Lutz,68.0,145.0,72.0,Orthodox,1994-07-12,http://ufcstats.com/fighter-details/7832f2f62f04178f,True,28.0
Stevie Lynch,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/710d93f1508f7104,True,
Chris Lytle,71.0,170.0,68.0,Orthodox,1974-08-18,http://ufcstats.com/fighter-details/91acd6910b802a9e,True,48.0
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,1988-09-09,http://ufcstats.com/fighter-details/98a6b2361045898f,True,34.0
William Macario,71.0,170.0,75.0,Orthodox,1991-07-01,http://ufcstats.com/fighter-details/ed74afc8b5b47a61,True,31.0
Jason MacDonald,75.0,185.0,80.0,Orthodox,1975-06-03,http://ufcstats.com/fighter-details/2be6596a9db33bf5,True,47.0
Rob MacDonald,75.0,205.0,78.0,Orthodox,1978-09-05,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64,True,44.0
Rory MacDonald,72.0,170.0,76.0,Orthodox,1989-07-22,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,True,33.0
Ryan MacDonald,71.0,135.0,71.0,Switch,1993-03-18,http://ufcstats.com/fighter-details/35e1f9984ed64206,True,29.0
Veronica Macedo,64.0,125.0,64.0,Southpaw,1995-10-30,http://ufcstats.com/fighter-details/4798e823ada58fe9,True,27.0
Lyoto Machida,73.0,185.0,74.0,Southpaw,1978-05-30,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,True,44.0
War Machine,71.0,170.0,,Orthodox,1981-11-30,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0,True,41.0
Anthony Macias,69.0,185.0,,Switch,,http://ufcstats.com/fighter-details/dedc3bb440d09554,True,
Reza Madadi,71.0,155.0,73.0,Orthodox,1978-06-20,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,True,44.0
Don Madge,72.0,155.0,72.0,Southpaw,1990-11-12,http://ufcstats.com/fighter-details/68c7ad953455c73f,True,32.0
Ryan Madigan,72.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/a8d521d913df4e31,True,
Jon Madsen,72.0,240.0,72.0,Orthodox,1980-02-12,http://ufcstats.com/fighter-details/7691a80e6ca3e55b,True,42.0
Mark Madsen,68.0,155.0,72.0,Orthodox,1984-09-23,http://ufcstats.com/fighter-details/da0995f19b749cfa,True,38.0
Leonardo Mafra,70.0,155.0,70.0,Orthodox,1989-04-25,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1,True,33.0
Vinny Magalhaes,75.0,205.0,75.0,Orthodox,1984-07-02,http://ufcstats.com/fighter-details/88a9bc81271ccd89,True,38.0
Caio Magalhaes,73.0,185.0,73.0,Orthodox,1987-12-14,http://ufcstats.com/fighter-details/0c5c66ddd1886b83,True,35.0
Bernardo Magalhaes,69.0,155.0,,Orthodox,1981-04-08,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8,True,41.0
Angela Magana,61.0,115.0,65.0,Orthodox,1983-08-02,http://ufcstats.com/fighter-details/bd878a638e0e3be3,True,39.0
Neil Magny,75.0,170.0,80.0,Orthodox,1987-08-03,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,True,35.0
Rashid Magomedov,69.0,155.0,70.0,Orthodox,1984-11-29,http://ufcstats.com/fighter-details/7ea1f74cef32f906,True,38.0
Ruslan Magomedov,75.0,242.0,78.0,Orthodox,1986-11-26,http://ufcstats.com/fighter-details/369e1ce458ef50a6,True,36.0
Abus Magomedov,74.0,185.0,,,1990-09-02,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,True,32.0
Zabit Magomedsharipov,73.0,145.0,73.0,Orthodox,1991-03-01,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1,True,31.0
John Maguire,69.0,155.0,69.0,Southpaw,1983-05-19,http://ufcstats.com/fighter-details/1a7745388839e52b,True,39.0
Maheshate,72.0,155.0,71.0,Orthodox,1999-01-12,http://ufcstats.com/fighter-details/8c1ca54b5089d199,True,24.0
Bill Mahood,75.0,200.0,,Orthodox,1967-02-01,http://ufcstats.com/fighter-details/ae58685caf8e4a0d,True,55.0
Demian Maia,73.0,170.0,72.0,Southpaw,1977-11-06,http://ufcstats.com/fighter-details/427b5953ac8e3a27,True,45.0
Jennifer Maia,64.0,125.0,64.0,Orthodox,1988-10-06,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,True,34.0
Levan Makashvili,68.0,145.0,68.0,Orthodox,1989-01-07,http://ufcstats.com/fighter-details/938ad489fb7a1f31,True,34.0
John Makdessi,68.0,155.0,68.0,Orthodox,1985-05-03,http://ufcstats.com/fighter-details/c21a036b4e012f1c,True,37.0
Islam Makhachev,70.0,155.0,70.0,Southpaw,1991-10-27,http://ufcstats.com/fighter-details/275aca31f61ba28c,True,31.0
Zach Makovsky,64.0,125.0,64.0,Southpaw,1983-04-19,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30,True,39.0
Fabio Maldonado,73.0,205.0,75.0,Orthodox,1980-03-17,http://ufcstats.com/fighter-details/1fb80f46d3c105d9,True,42.0
Bea Malecki,69.0,135.0,74.0,Orthodox,1991-08-23,http://ufcstats.com/fighter-details/b60c980f79b87ce8,True,31.0
Nazareno Malegarie,68.0,155.0,,,1986-05-16,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051,True,36.0
Jacob Malkoun,69.0,185.0,73.0,Orthodox,1995-08-26,http://ufcstats.com/fighter-details/d4270315cbcf2569,True,27.0
Mike Malott,73.0,170.0,73.0,Orthodox,1991-11-07,http://ufcstats.com/fighter-details/dd6103dd7127db1d,True,31.0
Troy Mandaloniz,69.0,170.0,,Orthodox,1980-02-01,http://ufcstats.com/fighter-details/725a834930c2b5bf,True,42.0
Nate Maness,70.0,135.0,72.0,Orthodox,1991-06-27,http://ufcstats.com/fighter-details/6e9f40c706f91f32,True,31.0
Jon Manley,73.0,170.0,,Orthodox,1986-07-07,http://ufcstats.com/fighter-details/a0602dd050bebefc,True,36.0
Jimi Manuwa,73.0,205.0,79.0,Orthodox,1980-02-18,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e,True,42.0
Cristiano Marcello,69.0,155.0,72.0,Orthodox,1977-12-03,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3,True,45.0
Jose Maria,65.0,125.0,,Orthodox,1982-01-04,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3,True,41.0
Marcos Mariano,73.0,155.0,76.0,Switch,1986-10-12,http://ufcstats.com/fighter-details/72e5e5a6edfa8223,True,36.0
Enrique Marin,70.0,170.0,,,1986-09-02,http://ufcstats.com/fighter-details/23a6e307077c6ccc,True,36.0
Ronny Markes,73.0,185.0,75.0,Orthodox,1988-04-21,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee,True,34.0
Rory Markham,72.0,170.0,71.0,Orthodox,1982-03-25,http://ufcstats.com/fighter-details/23a16ebe733e3041,True,40.0
Randa Markos,64.0,115.0,63.0,Orthodox,1985-08-10,http://ufcstats.com/fighter-details/4a57ebb14315b251,True,37.0
Christina Marks,67.0,125.0,69.0,Orthodox,1985-11-08,http://ufcstats.com/fighter-details/c7be22a47a58365a,True,37.0
Nate Marquardt,72.0,185.0,74.0,Orthodox,1979-04-20,http://ufcstats.com/fighter-details/a8e6a69796280f17,True,43.0
Danilo Marques,78.0,205.0,77.0,Orthodox,1985-12-26,http://ufcstats.com/fighter-details/687c15b2eddfaa63,True,37.0
Julian Marquez,74.0,185.0,72.0,Orthodox,1990-05-08,http://ufcstats.com/fighter-details/d0e1b42d41dab603,True,32.0
Carmelo Marrero,72.0,205.0,73.0,Orthodox,1981-01-26,http://ufcstats.com/fighter-details/aa03a3ca00ac6827,True,42.0
John Marsh,72.0,265.0,,Orthodox,1970-09-15,http://ufcstats.com/fighter-details/b6b12014698cc345,True,52.0
Eliot Marshall,74.0,205.0,77.0,Orthodox,1980-07-07,http://ufcstats.com/fighter-details/a08d909a5be6f410,True,42.0
Jack Marshman,72.0,185.0,73.0,Orthodox,1989-12-19,http://ufcstats.com/fighter-details/045f25b3a4c08e81,True,33.0
Terry Martin,68.0,185.0,71.0,Orthodox,1980-10-10,http://ufcstats.com/fighter-details/6a92caba39b64752,True,42.0
Anthony Rocco Martin,72.0,170.0,73.0,Orthodox,1989-12-11,http://ufcstats.com/fighter-details/5331b25a60417ffb,True,33.0
Mallory Martin,64.0,115.0,63.0,Orthodox,1994-01-29,http://ufcstats.com/fighter-details/19b7738321cfae42,True,29.0
Rainy Martinez,72.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/577ec7e108b94be3,True,
Danny Martinez,66.0,125.0,67.0,Orthodox,1985-06-14,http://ufcstats.com/fighter-details/8a9c6c4301f6d088,True,37.0
Henry Martinez,67.0,155.0,69.0,Southpaw,1983-08-07,http://ufcstats.com/fighter-details/76729a829623e266,True,39.0
Jonathan Martinez,68.0,135.0,70.0,Southpaw,1994-04-20,http://ufcstats.com/fighter-details/f2477cf43c4975cc,True,28.0
Mana Martinez,70.0,135.0,70.0,Orthodox,1996-03-25,http://ufcstats.com/fighter-details/c0386644627a7ee5,True,26.0
Roque Martinez,70.0,250.0,72.0,Orthodox,1986-03-04,http://ufcstats.com/fighter-details/2c5a0b8317f8f27a,True,36.0
Adriano Martins,70.0,155.0,72.0,Southpaw,1982-12-16,http://ufcstats.com/fighter-details/7dcf06c1967801c1,True,40.0
Lucas Martins,72.0,145.0,72.0,Southpaw,1988-11-11,http://ufcstats.com/fighter-details/7413b80dbb0f8f9f,True,34.0
Bristol Marunde,73.0,170.0,75.0,Orthodox,1982-04-20,http://ufcstats.com/fighter-details/a17322f99ddfd8e9,True,40.0
Mike Massenzio,74.0,185.0,73.0,Southpaw,1982-11-01,http://ufcstats.com/fighter-details/5b2d7906aa894274,True,40.0
Jorge Masvidal,71.0,170.0,74.0,Orthodox,1984-11-12,http://ufcstats.com/fighter-details/47b9e0e7703a4868,True,38.0
Tateki Matsuda,67.0,125.0,,Orthodox,1986-02-27,http://ufcstats.com/fighter-details/3a524c6700addc24,True,36.0
Jake Matthews,71.0,170.0,73.0,Orthodox,1994-08-19,http://ufcstats.com/fighter-details/a845f0735bc67405,True,28.0
John Matua,74.0,400.0,,Orthodox,,http://ufcstats.com/fighter-details/c933d423ebdbbbdb,True,
Vladimir Matyushenko,72.0,205.0,74.0,Orthodox,1971-01-04,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,True,52.0
Miranda Maverick,63.0,125.0,65.0,Southpaw,1997-07-01,http://ufcstats.com/fighter-details/f29a6350c69f4a33,True,25.0
Nick Maximov,72.0,185.0,76.0,Southpaw,1997-12-23,http://ufcstats.com/fighter-details/12585614e0ed2626,True,25.0
Jack May,80.0,255.0,,Switch,1981-04-14,http://ufcstats.com/fighter-details/2c6e81426dd7573c,True,41.0
Don'Tale Mayes,78.0,260.0,81.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/1a9480fc288e55d7,True,31.0
Gray Maynard,69.0,155.0,70.0,Orthodox,1979-05-09,http://ufcstats.com/fighter-details/7d96bc577e5178b2,True,43.0
Gina Mazany,66.0,125.0,68.0,Southpaw,1988-08-19,http://ufcstats.com/fighter-details/016a8d958883167c,True,34.0
Sabina Mazo,67.0,125.0,70.0,Orthodox,1997-03-25,http://ufcstats.com/fighter-details/70d2329a92864fdb,True,25.0
Michael McBride,73.0,155.0,,Orthodox,1986-03-09,http://ufcstats.com/fighter-details/443f60bec7c3c3d5,True,36.0
Ian McCall,65.0,125.0,64.0,Orthodox,1984-05-07,http://ufcstats.com/fighter-details/701e057d63c124d9,True,38.0
Molly McCann,64.0,125.0,62.0,Orthodox,1990-05-04,http://ufcstats.com/fighter-details/51018a31ddf31eb2,True,32.0
Charles McCarthy,70.0,185.0,71.0,Orthodox,1980-08-06,http://ufcstats.com/fighter-details/da97d6c97d09c030,True,42.0
Sean McCorkle,79.0,265.0,81.0,Orthodox,1976-07-17,http://ufcstats.com/fighter-details/008dc37cca279def,True,46.0
Kris McCray,72.0,170.0,76.0,Orthodox,1981-09-24,http://ufcstats.com/fighter-details/baed16f18348908e,True,41.0
Tamdan McCrory,76.0,185.0,76.0,Switch,1986-11-05,http://ufcstats.com/fighter-details/eff47295daf721a6,True,36.0
Justin McCully,73.0,225.0,73.0,Orthodox,1976-02-18,http://ufcstats.com/fighter-details/75f871836d41f90f,True,46.0
Robert McDaniel,75.0,185.0,75.0,Southpaw,1983-05-03,http://ufcstats.com/fighter-details/5cafbc97dba2e797,True,39.0
Michael McDonald,69.0,135.0,70.0,Orthodox,1991-01-15,http://ufcstats.com/fighter-details/d0314416a7f26527,True,32.0
Drew McFedries,72.0,185.0,72.0,Southpaw,1978-07-27,http://ufcstats.com/fighter-details/1fd4fbdcc67de844,True,44.0
Gan McGee,82.0,265.0,,Orthodox,1976-11-20,http://ufcstats.com/fighter-details/d90b630e0561818b,True,46.0
Court McGee,71.0,170.0,75.0,Orthodox,1984-12-12,http://ufcstats.com/fighter-details/523fa774700d7d3f,True,38.0
Ryan McGillivray,71.0,170.0,,,1986-09-27,http://ufcstats.com/fighter-details/1f9c371c93dfd3a9,True,36.0
Conor McGregor,69.0,155.0,74.0,Southpaw,1988-07-14,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,True,34.0
Antonio McKee,68.0,155.0,,Southpaw,1970-03-12,http://ufcstats.com/fighter-details/3414b50b08a10600,True,52.0
Rhys McKee,74.0,170.0,78.0,Orthodox,1995-09-10,http://ufcstats.com/fighter-details/f748267c4ab6c127,True,27.0
Cory McKenna,63.0,115.0,58.0,Orthodox,1999-11-07,http://ufcstats.com/fighter-details/3351aa64aa83c4d9,True,23.0
Tim McKenzie,72.0,185.0,74.0,Orthodox,1982-07-21,http://ufcstats.com/fighter-details/9ca265dfe8323db3,True,40.0
Cody McKenzie,72.0,155.0,72.0,Switch,1987-12-16,http://ufcstats.com/fighter-details/7be63795363029e8,True,35.0
Terrance McKinney,70.0,155.0,73.0,Switch,1994-09-15,http://ufcstats.com/fighter-details/809bd1a871491508,True,28.0
Garreth McLellan,73.0,185.0,72.0,Southpaw,1982-09-01,http://ufcstats.com/fighter-details/f215cfbd4ba3c270,True,40.0
Sara McMann,66.0,135.0,66.0,Orthodox,1980-09-24,http://ufcstats.com/fighter-details/7be74a12d7352df2,True,42.0
James McSweeney,76.0,230.0,77.0,Switch,1980-10-24,http://ufcstats.com/fighter-details/cac08b8685387ca5,True,42.0
Tim Means,74.0,170.0,75.0,Orthodox,1984-02-20,http://ufcstats.com/fighter-details/4b47e71384a9522f,True,38.0
Yancy Medeiros,70.0,155.0,75.0,Orthodox,1987-09-07,http://ufcstats.com/fighter-details/813550bc53b15fb0,True,35.0
Anistavio Medeiros,66.0,145.0,,Orthodox,1988-05-01,http://ufcstats.com/fighter-details/2937cb502dda0808,True,34.0
Uros Medic,73.0,155.0,71.0,Southpaw,1993-04-25,http://ufcstats.com/fighter-details/681399317dbf4701,True,29.0
Todd Medina,70.0,193.0,,Southpaw,,http://ufcstats.com/fighter-details/b60391da771deefe,True,
Emil Meek,71.0,170.0,74.0,Switch,1988-08-20,http://ufcstats.com/fighter-details/103b06d8707895a9,True,34.0
Gerald Meerschaert,73.0,185.0,77.0,Southpaw,1987-12-18,http://ufcstats.com/fighter-details/6ac9bc2953c47345,True,35.0
Jordan Mein,72.0,170.0,73.0,Orthodox,1989-10-10,http://ufcstats.com/fighter-details/2aa49b3766a59bcd,True,33.0
Brian Melancon,68.0,170.0,,Orthodox,1982-05-28,http://ufcstats.com/fighter-details/eee7dafac7d672b5,True,40.0
Brandon Melendez,71.0,155.0,,Southpaw,1983-03-24,http://ufcstats.com/fighter-details/2b06b6ad5db63348,True,39.0
Gilbert Melendez,69.0,145.0,73.0,Orthodox,1982-04-12,http://ufcstats.com/fighter-details/aa5b4eff51bdc7d1,True,40.0
Marcelo Mello,67.0,170.0,,Southpaw,,http://ufcstats.com/fighter-details/672ef06fd9f41f7d,True,
Vanessa Melo,65.0,135.0,65.0,Orthodox,1988-03-27,http://ufcstats.com/fighter-details/9b7dfb3b7d99926a,True,34.0
Antonio Mendes,75.0,205.0,77.0,Southpaw,1981-04-19,http://ufcstats.com/fighter-details/3795fca327cbcf23,True,41.0
Chad Mendes,66.0,145.0,66.0,Orthodox,1985-05-01,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,True,37.0
Augusto Mendes,66.0,135.0,65.0,Orthodox,1983-03-03,http://ufcstats.com/fighter-details/3d5b1ce6097dbb49,True,39.0
Eddie Mendez,70.0,185.0,,,1984-01-16,http://ufcstats.com/fighter-details/49e49b54e5901d0d,True,39.0
Alonzo Menifield,72.0,205.0,76.0,Orthodox,1987-10-18,http://ufcstats.com/fighter-details/a495f599e787614f,True,35.0
Ivan Menjivar,66.0,145.0,64.0,Orthodox,1982-05-30,http://ufcstats.com/fighter-details/5755960ebd0b16f6,True,40.0
Dave Menne,70.0,170.0,,Orthodox,1974-07-29,http://ufcstats.com/fighter-details/275cafc9de131c83,True,48.0
Joe Merritt,72.0,170.0,,Orthodox,1984-03-07,http://ufcstats.com/fighter-details/e82d5f54daa85a7e,True,38.0
Jonathan Meunier,75.0,170.0,,Switch,1987-08-04,http://ufcstats.com/fighter-details/5823ceab56741617,True,35.0
Yaotzin Meza,69.0,145.0,71.0,Orthodox,1981-02-04,http://ufcstats.com/fighter-details/3623bd267a2eef2e,True,41.0
Guy Mezger,73.0,200.0,,Orthodox,1968-01-01,http://ufcstats.com/fighter-details/946f341df6472ee0,True,55.0
Andreas Michailidis,72.0,185.0,76.0,Orthodox,1988-07-18,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,True,34.0
David Michaud,69.0,155.0,,Orthodox,1988-11-10,http://ufcstats.com/fighter-details/49f4b511932f71e9,True,34.0
Kristof Midoux,73.0,220.0,,Orthodox,1974-07-30,http://ufcstats.com/fighter-details/5b5b9c6f6f270369,True,48.0
Bojan Mihajlovic,71.0,205.0,73.0,Orthodox,1980-03-30,http://ufcstats.com/fighter-details/d6285cba1d1052e0,True,42.0
Billy Miles,70.0,170.0,,Orthodox,1978-04-28,http://ufcstats.com/fighter-details/3c48019bc387b80c,True,44.0
Pat Miletich,70.0,170.0,,Orthodox,1968-03-09,http://ufcstats.com/fighter-details/cedfdf8d423d500c,True,54.0
Curtis Millender,74.0,170.0,76.0,Orthodox,1987-12-01,http://ufcstats.com/fighter-details/f1928a52590c5532,True,35.0
Phillip Miller,71.0,185.0,,Orthodox,1979-02-20,http://ufcstats.com/fighter-details/18aecaf50f52e4c3,True,43.0
Jason Miller,73.0,185.0,,Orthodox,1980-12-24,http://ufcstats.com/fighter-details/b2f88c04c4dd43ce,True,42.0
Dan Miller,73.0,185.0,74.0,Orthodox,1981-06-30,http://ufcstats.com/fighter-details/d0c29452d3272603,True,41.0
Jim Miller,68.0,155.0,71.0,Southpaw,1983-08-30,http://ufcstats.com/fighter-details/d1941565abf50b16,True,39.0
Cole Miller,73.0,145.0,73.0,Orthodox,1984-04-26,http://ufcstats.com/fighter-details/282fa667ff9c51ed,True,38.0
Che Mills,73.0,170.0,76.0,Orthodox,1982-09-29,http://ufcstats.com/fighter-details/6cadfd8f1d9e7685,True,40.0
Adam Milstead,75.0,205.0,76.0,Orthodox,1987-07-03,http://ufcstats.com/fighter-details/72ffecf712673af1,True,35.0
Alberto Mina,72.0,170.0,77.0,Orthodox,1982-05-02,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,True,40.0
Darrick Minner,67.0,145.0,69.0,Orthodox,1990-04-28,http://ufcstats.com/fighter-details/34e516ab361afb1c,True,32.0
Ikuhisa Minowa,69.0,181.0,,Orthodox,1976-01-12,http://ufcstats.com/fighter-details/ce6065baef021cf3,True,47.0
Carlton Minus,70.0,170.0,75.0,Orthodox,1993-04-26,http://ufcstats.com/fighter-details/40d8b74488743800,True,29.0
Stipe Miocic,76.0,240.0,80.0,Orthodox,1982-08-19,http://ufcstats.com/fighter-details/d28dee5c705991df,True,40.0
Frank Mir,75.0,264.0,79.0,Southpaw,1979-05-24,http://ufcstats.com/fighter-details/1ff9589f9065a9ed,True,43.0
Mario Miranda,75.0,185.0,74.0,Orthodox,1979-07-12,http://ufcstats.com/fighter-details/df2bf09c99594848,True,43.0
Vitor Miranda,73.0,185.0,77.0,Orthodox,1979-03-10,http://ufcstats.com/fighter-details/4bcb6eb12b4ad4aa,True,43.0
Dokonjonosuke Mishima,67.0,155.0,,Southpaw,1972-04-19,http://ufcstats.com/fighter-details/b14a68c533f4a4aa,True,50.0
Felix Lee Mitchell,,,,Orthodox,,http://ufcstats.com/fighter-details/6cbb7661c3258617,True,
David Mitchell,72.0,170.0,75.0,Orthodox,1979-10-24,http://ufcstats.com/fighter-details/8f3df4c579cfbb69,True,43.0
Danny Mitchell,74.0,170.0,,Orthodox,1986-08-08,http://ufcstats.com/fighter-details/c06d554ce1713fd3,True,36.0
Bryce Mitchell,70.0,145.0,70.0,Southpaw,1994-10-04,http://ufcstats.com/fighter-details/d9c6f19f958643e9,True,28.0
Roman Mitichyan,70.0,170.0,,Orthodox,1978-09-04,http://ufcstats.com/fighter-details/2961be02cfb0d2c1,True,44.0
Matt Mitrione,75.0,265.0,82.0,Switch,1978-07-15,http://ufcstats.com/fighter-details/ba280572acfba13f,True,44.0
Eiji Mitsuoka,67.0,145.0,,Southpaw,1976-01-01,http://ufcstats.com/fighter-details/2b4faacc16d66898,True,47.0
Takeya Mizugaki,67.0,135.0,69.0,Orthodox,1983-12-16,http://ufcstats.com/fighter-details/48e093ea1f43a053,True,39.0
Roxanne Modafferi,67.0,125.0,69.0,Orthodox,1982-09-24,http://ufcstats.com/fighter-details/4498b382c65a7faa,True,40.0
Bobby Moffett,70.0,145.0,73.0,Orthodox,1990-06-01,http://ufcstats.com/fighter-details/d76ad9a08c4408ff,True,32.0
Nate Mohr,69.0,155.0,72.0,Orthodox,1983-03-03,http://ufcstats.com/fighter-details/04c15b52c3cc1cab,True,39.0
Renato Moicano,71.0,155.0,72.0,Orthodox,1989-05-21,http://ufcstats.com/fighter-details/b6452706b373eea1,True,33.0
Thiago Moises,69.0,155.0,70.0,Orthodox,1995-03-23,http://ufcstats.com/fighter-details/d945aae53e3e54e6,True,27.0
Muhammad Mokaev,69.0,125.0,,,2000-07-30,http://ufcstats.com/fighter-details/75353550928a7921,True,22.0
